iter	RMSE
1127	807.1122202
1128	806.8395321
1129	806.5225043
1130	806.2413957
1131	805.9563917
1132	805.7333497
1133	805.5219635
1134	805.1924228
1135	804.9765101
1136	804.6669232
1137	804.4595064
1138	804.2896938
1139	804.0636923
1140	803.8165087
1141	803.6245009
1142	803.4072056
1143	803.1810113
1144	802.9811469
1145	802.7164058
1146	802.5410195
1147	802.2935337
1148	802.1027913
1149	801.8464834
1150	801.4871664
1151	801.2080709
1152	800.9602906
1153	800.5908031
1154	800.3975008
1155	800.1482885
1156	799.890769
1157	799.678157
1158	799.3022422
1159	799.0223336
1160	798.691359
1161	798.3879757
1162	798.1504622
1163	797.9263278
1164	797.7653709
1165	797.5172
1166	797.2902732
1167	796.9792629
1168	796.6908702
1169	796.4520021
1170	796.1065724
1171	795.6912456
1172	795.4626278
1173	795.2700073
1174	795.0425107
1175	794.7761412
1176	794.5085949
1177	794.1605428
1178	793.8684503
1179	793.620621
1180	793.3807058
1181	793.1317939
1182	792.9483763
1183	792.7273346
1184	792.4388955
1185	792.1329131
1186	791.7929212
1187	791.5339548
1188	791.3106096
1189	790.9985711
1190	790.8310981
1191	790.6665812
1192	790.5068948
1193	790.2207824
1194	790.0073046
1195	789.7360713
1196	789.5315399
1197	789.3076477
1198	788.9949813
1199	788.7149615
1200	788.454977
1201	788.2831912
1202	788.00847
1203	787.7333212
1204	787.5207089
1205	787.2323349
1206	786.9919909
1207	786.7017436
1208	786.4209475
1209	786.1783088
1210	785.9710829
1211	785.7865633
1212	785.5753715
1213	785.2548256
1214	784.8654514
1215	784.5981001
1216	784.3167757
1217	784.1426119
1218	783.8449635
1219	783.6531625
1220	783.3685743
1221	782.988575
1222	782.7988701
1223	782.6057879
1224	782.4789252
1225	782.2599952
1226	781.9407579
1227	781.7435643
1228	781.5195043
1229	781.2512036
1230	781.0359461
1231	780.8712044
1232	780.6272768
1233	780.3841539
1234	780.1954616
1235	779.9540797
1236	779.6869939
1237	779.3392587
1238	779.0785656
1239	778.8173373
1240	778.6688947
1241	778.4062017
1242	778.1429881
1243	777.7638099
1244	777.5719186
1245	777.2828417
1246	777.0110014
1247	776.6837122
1248	776.4579519
1249	776.2683456
1250	775.9142257
1251	775.7693738
1252	775.6066257
1253	775.3682165
1254	775.0774811
1255	774.7778251
1256	774.5336958
1257	774.2575509
1258	774.0614152
1259	773.84891
1260	773.6526167
1261	773.3770477
1262	773.0305205
1263	772.7524954
1264	772.4612146
1265	772.2303746
1266	771.9968941
1267	771.8454131
1268	771.6493333
1269	771.3699618
1270	771.0643272
1271	770.7589787
1272	770.5850741
1273	770.381313
1274	770.0602201
1275	769.8128177
1276	769.601281
1277	769.3203908
1278	769.1369427
1279	768.8953433
1280	768.6280279
1281	768.5053053
1282	768.314714
1283	768.0129239
1284	767.6845948
1285	767.3728603
1286	767.1169097
1287	766.8560197
1288	766.6077334
1289	766.3229543
1290	766.0699735
1291	765.8232965
1292	765.6062321
1293	765.3328323
1294	765.1454313
1295	764.9337259
1296	764.7815795
1297	764.5358767
1298	764.2779182
1299	764.0890347
1300	763.8682365
1301	763.6001221
1302	763.3656306
1303	763.2064314
1304	763.0096434
1305	762.772807
1306	762.5339211
1307	762.2635849
1308	762.0215282
1309	761.7660093
1310	761.489803
1311	761.2699205
1312	761.0845777
1313	760.8905839
1314	760.7366612
1315	760.4332202
1316	760.1880177
1317	759.9878141
1318	759.7832145
1319	759.5794421
1320	759.3833473
1321	759.130904
1322	758.8712871
1323	758.663102
1324	758.4279273
1325	758.1322166
1326	757.9278528
1327	757.6992201
1328	757.4693449
